train/rewards/format_reward,train/reward,train/rewards/accuracy_reward,train/learning_rate,_step,_runtime,train/reward_std,train/loss,train/global_step,train/epoch,train/kl,train/all_wrong,train/all_correct,train/grad_norm,_timestamp,train/temporal_rewards,train/completion_length
1.0,1.59375,0.5,9.998903417374226e-07,0,115.835592875,0.2874999940395355,0.0,1,0.008,0.0,0.25,0.25,1.8533661365509033,1774837078.9500859,0.75,213.5625
1.0,1.449999988079071,0.375,9.99561415049429e-07,1,218.168418501,0.25,0.0,2,0.016,0.0007076263427734375,0.25,0.25,3.058375597000122,1774837181.2831666,0.5,192.6875
1.0,2.099999964237213,0.875,9.990133642141357e-07,2,303.968760084,0.14433756470680237,0.0,3,0.024,0.0005931854248046875,0.0,0.75,1.8862669467926025,1774837267.0835423,0.75,224.25
1.0,1.6749999523162842,0.5625,9.982464296247522e-07,3,384.560458249,0.3126388341188431,0.0,4,0.032,0.000812530517578125,0.25,0.25,2.65130352973938,1774837347.6752422,0.5,199.6875
1.0,1.931249976158142,0.75,9.972609476841365e-07,4,478.221259712,0.29790063202381134,0.0,5,0.04,0.0007076263427734375,0.0,0.5,2.1727964878082275,1774837441.3359764,0.75,240.9375
1.0,2.3124998807907104,1.0,9.960573506572389e-07,5,558.658537096,0.025000015273690224,0.0,6,0.048,0.0006046295166015625,0.0,1.0,0.985457181930542,1774837521.7733474,1.0,217.3125
1.0,2.1374998092651367,0.875,9.946361664814943e-07,6,640.346400372,0.32499998807907104,0.0,7,0.056,0.000762939453125,0.0,0.5,2.4491472244262695,1774837603.4611814,1.0,191.75
1.0,1.9374999403953552,0.75,9.929980185352525e-07,7,735.656953023,0.33197639882564545,0.0,8,0.064,0.000640869140625,0.0,0.5,2.2549917697906494,1774837698.7717566,0.75,209.25
1.0,2.2312498092651367,0.9375,9.911436253643443e-07,8,836.426563626,0.18750000931322575,0.0,9,0.072,0.0007724761962890625,0.0,0.75,2.1069748401641846,1774837799.5413487,1.0,237.5
1.0,1.9562499523162842,0.8125,9.890738003669027e-07,9,929.020068748,0.4375000149011612,0.0,10,0.08,0.0007915496826171875,0.0,0.25,3.642768383026123,1774837892.1348443,0.5,236.0625
1.0,1.9187499284744263,0.75,9.8678945143658e-07,10,1009.796291674,0.4751388281583786,0.0,11,0.088,0.0009307861328125,0.0,0.25,3.443016529083252,1774837972.9110734,0.75,213.0
1.0,1.7937499284744263,0.6875,9.842915805643156e-07,11,1115.836259896,0.6105394661426544,0.0,12,0.096,0.001186370849609375,0.0,0.0,3.6647167205810547,1774838078.9509852,0.5,229.1875
1.0,1.8937499523162842,0.6875,9.81581283398829e-07,12,1205.013844142,0.16249999403953552,0.0,13,0.104,0.001247406005859375,0.25,0.5,1.6799612045288086,1774838168.128618,1.0,199.4375
